date,open,high,low,close,volume
2001-07-02,12.2063,12.75,12.0,12.075,18560.0
2001-07-03,12.6469,12.6469,11.8313,12.075,12533.0
2001-07-04,12.075,12.2812,12.0,12.1969,20027.0
2001-07-05,12.1031,12.2063,12.0094,12.1875,43680.0
2001-07-06,12.1125,12.1875,12.0469,12.1875,100640.0
2001-07-09,11.9531,12.2344,11.625,12.1875,111520.0
2001-07-10,12.0844,12.2344,12.0844,12.1687,51141.0
2001-07-11,12.3,12.3188,12.0188,12.2156,63173.0
2001-07-12,12.3094,12.3188,12.0938,12.2063,27307.0
2001-07-13,12.0938,12.2344,12.0469,12.0938,50747.0
2001-07-16,12.0938,12.375,12.0469,12.1406,55520.0
2001-07-17,12.2344,12.375,12.0281,12.0281,154544.0
2001-07-18,12.0469,12.3281,12.0469,12.1594,101627.0
2001-07-19,12.0938,12.1875,11.9062,11.9062,115493.0
2001-07-20,11.9625,12.0,11.8125,11.8125,334672.0
2001-07-23,11.8403,11.8636,11.8225,11.8406,122610.0
2001-07-24,11.8406,11.8406,11.5781,11.6625,51733.0
2001-07-25,11.3906,11.5219,10.9312,11.0813,92352.0
2001-07-26,11.0625,11.0625,10.7156,10.9406,35701.0
2001-07-27,10.875,11.0625,10.5,11.0625,78011.0
2001-07-30,11.025,11.1562,10.8938,11.0719,24800.0
2001-07-31,11.1656,11.25,11.0625,11.25,10059.0
2001-08-01,11.2219,11.25,11.0156,11.1656,89653.0
2001-08-02,11.2406,11.3719,11.1187,11.2406,32256.0
2001-08-03,11.1094,11.25,11.0625,11.2125,73755.0
2001-08-06,11.2312,11.25,11.1375,11.2312,86160.0
2001-08-07,11.2031,11.3719,11.2031,11.325,45467.0
2001-08-08,11.2031,11.2969,11.2031,11.2406,109627.0
2001-08-09,11.3624,11.379,11.3389,11.3625,923514.0
2001-08-10,11.3625,11.3625,11.1562,11.2406,23168.0
2001-08-13,11.175,11.3156,11.175,11.2594,18080.0
2001-08-14,11.175,11.5312,11.1094,11.3344,41691.0
2001-08-16,11.3438,11.5312,11.3438,11.475,7445.0
2001-08-17,11.5219,11.6719,11.4375,11.5406,64320.0
2001-08-20,11.55,11.625,11.5312,11.6062,9520.0
2001-08-21,11.7656,12.0,11.4375,11.6156,242224.0
2001-08-23,11.6062,11.625,11.2125,11.2406,82773.0
2001-08-24,11.25,11.3625,11.1094,11.1281,78885.0
2001-08-27,11.25,11.3438,10.875,10.9875,229307.0
2001-08-28,11.0437,11.0531,10.8469,10.875,158240.0
2001-08-29,11.0437,11.0625,10.8469,10.8562,59077.0
2001-08-30,10.875,10.9406,10.7719,10.7812,69813.0
2001-08-31,10.875,10.875,10.4719,10.5,143280.0
2001-09-03,10.5469,10.5469,10.0969,10.125,210955.0
2001-09-04,10.125,10.3125,9.8906,10.2656,140635.0
2001-09-05,9.7125,9.75,9.4594,9.525,67957.0
2001-09-06,9.525,9.7031,9.525,9.6938,65712.0
2001-09-07,9.75,9.8438,9.6656,9.7406,48192.0
2001-09-10,9.7031,9.8719,9.7031,9.8344,44667.0
2001-09-11,9.8719,9.975,9.7781,9.8438,39259.0
2001-09-12,9.5625,9.75,9.3281,9.375,94939.0
2001-09-13,9.375,9.75,9.0938,9.1969,118021.0
2001-09-14,9.3188,9.3188,8.2594,8.6156,97339.0
2001-09-17,8.5688,8.5688,8.0625,8.1563,68805.0
2001-09-18,8.4,8.7094,8.2688,8.5313,32896.0
2001-09-19,8.4375,8.7094,8.4375,8.6156,38373.0
2001-09-20,8.625,9.075,8.4375,8.9719,60400.0
2001-09-21,8.8781,8.9719,8.5781,8.8219,33227.0
2001-09-24,8.4844,8.9812,8.4844,8.9156,30325.0
2001-09-25,8.8594,9.0469,8.8594,8.9344,19445.0
2001-09-26,8.8125,9.375,8.8125,9.3094,34720.0
2001-09-27,9.5437,9.5625,9.375,9.3938,27067.0
2001-09-28,9.6187,9.6281,9.375,9.4875,9109.0
2001-10-01,9.5625,9.8438,9.4594,9.825,72939.0
2001-10-03,10.125,10.3125,9.9375,10.0406,107109.0
2001-10-04,10.3151,10.3215,10.2782,10.3125,194916.0
2001-10-05,10.3125,10.3125,10.1438,10.2937,61179.0
2001-10-08,9.9375,10.4906,9.8344,10.3031,311467.0
2001-10-09,10.125,10.3125,10.125,10.3031,82848.0
2001-10-10,10.3219,10.3219,10.2188,10.2937,47573.0
2001-10-11,10.3031,10.4062,10.2281,10.2937,50091.0
2001-10-12,10.4531,10.4531,10.1531,10.1719,23499.0
2001-10-15,10.2469,10.3125,10.125,10.2844,72533.0
2001-10-16,10.5,10.5938,10.2563,10.4906,44421.0
2001-10-17,10.5,10.6594,9.7594,10.4625,37371.0
2001-10-18,10.5,10.8469,9.9375,10.6781,77541.0
2001-10-19,10.7812,10.875,10.5281,10.8281,32997.0
2001-10-22,10.4156,10.875,10.4156,10.7906,152837.0
2001-10-23,10.875,11.1562,10.7437,10.875,158096.0
2001-10-24,10.875,11.0531,10.8,11.0437,177771.0
2001-10-25,11.0437,11.1375,10.9688,11.0437,55104.0
2001-10-29,11.25,11.25,10.9688,11.0719,57200.0
2001-10-30,11.25,11.25,10.9688,11.2312,137920.0
2001-10-31,10.9781,11.3438,10.9781,11.2406,31333.0
2001-11-01,11.4187,11.4187,11.1562,11.325,64133.0
2001-11-02,11.2839,11.3409,11.2432,11.325,971671.0
2001-11-05,11.325,11.3438,11.175,11.2312,46693.0
2001-11-06,11.25,11.625,11.1562,11.3813,338400.0
2001-11-07,11.4375,11.8594,11.4094,11.7281,133275.0
2001-11-08,11.625,11.7656,11.4563,11.7469,118715.0
2001-11-09,11.6719,11.7937,11.4844,11.6156,218096.0
2001-11-12,11.4563,11.9812,11.4563,11.7469,437067.0
2001-11-13,11.5031,12.0938,11.5031,11.7937,491173.0
2001-11-14,12.1875,12.3562,11.8125,11.9062,43467.0
2001-11-15,12.0,12.1875,11.8125,11.9531,404555.0
2001-11-19,11.8125,12.0,11.625,11.9438,216709.0
2001-11-20,11.9531,12.0938,11.7188,12.0,114064.0
2001-11-21,11.8125,12.1875,11.8125,12.1687,448437.0
2001-11-22,12.375,12.375,12.0,12.1125,253029.0
2001-11-23,12.1875,12.1875,11.9906,12.1125,594107.0
2001-11-26,12.1875,12.3562,12.0094,12.1219,247685.0
2001-11-27,12.375,12.375,11.625,11.6531,597099.0
2001-11-28,11.9344,11.9344,10.9688,11.7188,262421.0
2001-11-29,11.7563,11.7563,11.3438,11.6156,44011.0
2001-12-03,10.725,11.8125,10.725,11.7469,40619.0
2001-12-04,11.8125,11.8125,11.5781,11.6625,31387.0
2001-12-05,11.6719,11.9438,11.625,11.775,52395.0
2001-12-06,11.9062,12.0375,11.5406,11.6719,312619.0
2001-12-07,11.625,11.9625,11.625,11.7563,123413.0
2001-12-10,11.6812,12.0,11.6812,11.8875,210395.0
2001-12-11,12.0,12.0,11.775,11.9812,151653.0
2001-12-12,11.9438,12.225,11.9062,11.9906,1041915.0
2001-12-13,12.1875,12.1875,11.25,11.7188,169600.0
2001-12-14,11.2688,11.8875,11.25,11.8031,64699.0
2001-12-18,11.2969,11.8875,11.25,11.6062,1048880.0
2001-12-19,11.2781,11.7,11.2781,11.4281,235285.0
2001-12-20,11.3438,11.5781,11.2969,11.4187,251440.0
2001-12-21,11.2594,11.625,11.1562,11.5125,86085.0
2001-12-24,11.2969,11.6156,11.0625,11.5406,127147.0
2001-12-26,11.5219,11.6719,11.4563,11.55,142480.0
2001-12-27,11.4375,11.625,11.3156,11.4281,31707.0
2001-12-28,11.4375,11.5688,11.2969,11.475,47344.0
2001-12-31,11.4937,11.8594,11.475,11.8594,42485.0
2002-01-01,11.9719,12.0,11.775,11.9906,54133.0
2002-01-02,12.1875,12.1875,11.9625,12.1406,95893.0
2002-01-03,12.2812,12.2812,12.0938,12.1781,78240.0
2002-01-04,12.2812,12.2812,12.0938,12.1969,39653.0
2002-01-07,12.2812,12.2812,12.0938,12.1687,100853.0
2002-01-08,12.1875,12.1875,12.0,12.1031,31573.0
2002-01-09,12.2063,12.2063,11.6438,12.1125,47051.0
2002-01-10,12.1125,12.1875,12.0188,12.15,87008.0
2002-01-11,12.0,12.1875,11.8313,11.8687,50987.0
2002-01-14,12.0844,12.2812,12.0094,12.225,26496.0
2002-01-15,12.225,12.225,12.0469,12.1687,58965.0
2002-01-16,12.1875,12.7969,12.1875,12.6375,100485.0
2002-01-17,12.3844,13.0219,12.3844,12.675,169840.0
2002-01-18,12.75,12.75,12.4688,12.5344,41157.0
2002-01-21,12.7906,12.874,12.7317,12.75,988990.0
2002-01-22,12.75,12.75,12.4875,12.525,25861.0
2002-01-23,12.2812,12.8438,12.2812,12.7312,128000.0
2002-01-24,12.8438,12.8438,12.6375,12.7125,90965.0
2002-01-25,12.6844,12.7688,12.6562,12.7219,50320.0
2002-01-28,13.0875,13.0875,12.675,12.7688,109456.0
2002-01-29,12.6915,12.6926,12.6209,12.6562,454096.0
2002-01-30,12.6562,12.75,12.375,12.5156,104603.0
2002-01-31,12.75,12.8438,12.5625,12.7594,111733.0
2002-02-01,12.8344,14.2875,12.75,13.6313,734544.0
2002-02-04,14.0625,15.2719,13.9781,14.6344,1324544.0
2002-02-05,15.0,15.5437,14.3438,15.0844,1275173.0
2002-02-06,16.1063,18.0,15.825,16.3312,7352523.0
2002-02-07,16.7812,17.0812,14.8125,14.9625,2203376.0
2002-02-08,15.0,15.4688,14.7375,14.8969,937851.0
2002-02-11,15.45,16.5,15.1875,15.4219,1537221.0
2002-02-12,15.4688,16.0781,15.2063,15.2625,1427344.0
2002-02-13,15.0375,15.5625,14.9062,15.0094,1229253.0
2002-02-14,15.375,16.3125,15.1125,15.6562,6659712.0
2002-02-15,15.8906,17.1562,15.675,16.0875,8718043.0
2002-02-18,16.5,16.5,14.6719,15.3281,4548032.0
2002-02-19,15.7031,15.75,15.0375,15.1781,1731472.0
2002-02-20,15.0,15.375,14.6438,14.7375,1992933.0
2002-02-21,15.1406,15.1687,14.5406,14.6438,1177307.0
2002-02-22,14.6719,15.6938,14.5875,14.7094,3697493.0
2002-02-25,14.9062,14.9625,13.8,13.8844,2145296.0
2002-02-26,14.0625,14.7,13.9031,14.4563,5708235.0
2002-02-27,14.6625,14.8125,13.8844,13.9406,2773653.0
2002-02-28,14.625,14.625,12.8813,13.2281,3176107.0
2002-03-01,13.5188,13.9406,13.125,13.8375,1054096.0
2002-03-04,14.2219,14.4187,13.9125,14.0344,858587.0
2002-03-05,14.4,14.4,13.7719,13.8188,934133.0
2002-03-06,13.95,13.95,13.4062,13.5094,853120.0
2002-03-07,13.6875,13.6875,13.4719,13.6125,936069.0
2002-03-08,13.8562,13.875,13.3594,13.4156,935035.0
2002-03-11,13.5188,13.5938,13.3313,13.4156,387584.0
2002-03-12,13.5188,14.0625,13.3313,13.6219,2288053.0
2002-03-13,13.6406,13.875,13.5,13.5281,605765.0
2002-03-14,13.7344,14.1656,13.4625,14.0625,2220640.0
2002-03-15,14.2594,14.6062,14.0719,14.3719,2352544.0
2002-03-18,14.4375,14.8969,14.25,14.4281,2001835.0
2002-03-19,14.55,14.55,13.8,13.8938,1084213.0
2002-03-20,14.0437,14.1187,13.6687,14.0344,1157771.0
2002-03-21,13.9688,14.0813,13.8938,14.0437,351707.0
2002-03-22,14.0625,14.1094,13.9125,14.0437,688672.0
2002-03-26,13.8938,14.0625,13.875,14.0437,987568.0
2002-03-27,14.0625,14.8125,13.9688,14.2969,1106597.0
2002-03-28,14.5312,14.7188,14.25,14.2688,904128.0
2002-04-01,14.5125,16.3781,14.4375,15.7594,7806944.0
2002-04-02,15.9281,16.8563,15.8438,15.9656,7173397.0
2002-04-03,15.9937,16.4062,15.75,16.0125,3065408.0
2002-04-04,16.1719,16.575,16.05,16.1437,2728373.0
2002-04-05,16.3125,17.2219,15.9656,16.6313,5473067.0
2002-04-08,17.0438,17.7938,16.8281,16.9875,5652987.0
2002-04-09,17.3062,17.325,15.9563,16.0875,3319376.0
2002-04-10,16.1063,16.3125,15.6562,15.6938,1625781.0
2002-04-11,15.8906,16.5844,15.7688,16.0875,2336928.0
2002-04-12,16.2188,16.4813,15.675,15.7594,1554715.0
2002-04-15,15.9281,15.975,15.225,15.45,1218309.0
2002-04-16,15.375,15.5063,14.9906,15.0844,894293.0
2002-04-17,15.075,15.4688,14.8125,14.8594,931141.0
2002-04-18,15.0,15.7031,14.8594,15.0656,1957200.0
2002-04-19,15.1781,15.3844,14.7188,14.8031,1088245.0
2002-04-22,15.0281,15.0281,14.4469,14.5406,1236208.0
2002-04-23,14.5781,15.0562,14.5125,14.7563,830400.0
2002-04-24,14.9531,15.1594,14.7188,14.775,532928.0
2002-04-25,14.9062,14.9531,14.4937,14.5219,560683.0
2002-04-26,14.625,14.8125,14.1094,14.25,659856.0
2002-04-29,14.4187,14.8125,14.4187,14.6156,587856.0
2002-04-30,14.4375,15.0,14.4375,14.9156,1478592.0
2002-05-02,15.0938,15.5437,14.7281,14.9156,1428613.0
2002-05-03,15.0938,15.0938,14.5312,14.6062,878363.0
2002-05-06,14.7937,15.1781,14.5312,15.0,1023541.0
2002-05-07,14.9906,15.1875,14.8125,14.8875,1099803.0
2002-05-08,14.9906,15.0,14.7188,14.8219,514469.0
2002-05-09,15.0,15.2812,14.625,15.0,1971483.0
2002-05-10,15.3562,15.3656,14.5312,14.5875,1624917.0
2002-05-13,14.7375,14.8125,14.25,14.3813,1981072.0
2002-05-14,14.4,14.5312,14.1562,14.2219,1270144.0
2002-05-15,14.4094,14.4094,13.9781,14.025,1054667.0
2002-05-16,14.0625,14.3906,13.875,13.9781,1871211.0
2002-05-17,14.25,14.25,13.7625,13.9594,2894229.0
2002-05-20,14.3438,14.3531,13.5375,14.0531,1583227.0
2002-05-21,14.0625,14.0719,13.3219,13.8281,1806869.0
2002-05-22,13.7906,14.25,13.4906,14.1094,1715525.0
2002-05-23,14.5312,14.9156,14.0625,14.1094,1725424.0
2002-05-24,14.4375,14.5312,13.7344,14.1375,2608448.0
2002-05-27,14.5594,15.4312,14.1844,15.0469,7719259.0
2002-05-28,14.0625,15.8062,14.0625,14.7656,8715803.0
2002-05-29,14.7188,15.2437,14.625,14.7469,3064901.0
2002-05-30,14.9438,15.3281,14.3156,14.4656,2460192.0
2002-05-31,14.5031,14.7188,13.9781,14.2125,1273547.0
2002-06-03,14.5312,14.6062,14.3344,14.4094,1059264.0
2002-06-04,14.4375,14.6156,14.2031,14.3062,880896.0
2002-06-05,14.4469,15.225,14.3625,14.6812,2556229.0
2002-06-06,15.0,15.1875,14.6438,14.6906,2328587.0
2002-06-07,14.7188,14.7188,14.25,14.3531,838827.0
2002-06-10,14.8125,15.0,14.5312,14.6344,750944.0
2002-06-11,14.9344,14.9344,14.6531,14.7656,799808.0
2002-06-12,14.8125,14.9062,14.3438,14.4656,1346347.0
2002-06-13,14.6156,14.6156,14.2688,14.3156,1402912.0
2002-06-14,14.3906,14.4281,13.9312,14.0437,1492043.0
2002-06-17,14.2969,14.4375,14.1094,14.2875,745781.0
2002-06-18,14.5125,14.5312,13.9688,14.0344,1750069.0
2002-06-19,14.2969,14.3625,14.0344,14.0813,988101.0
2002-06-20,14.0625,14.1656,13.9781,14.0344,782181.0
2002-06-21,14.175,14.175,13.9688,14.0625,387605.0
2002-06-24,14.0625,14.1469,13.9688,14.0813,246293.0
2002-06-25,14.1562,14.1562,13.9781,14.0437,263813.0
2002-06-26,14.0437,14.0437,13.95,14.0063,257275.0
2002-06-27,14.0156,14.1844,13.9125,13.9969,1078112.0
